"Ajatempel (UTC)";"Kuupaev (Eesti aeg)";"Tarbimine";"Tootmine";"Planeeritud tarbimine";"Planeeritud tootmine"
"1640988000";"01.01.2022 00:00";"899,4";"419,5";"903,1";"462,4"
"1640991600";"01.01.2022 01:00";"892,1";"431,9";"935,8";"469,1"
"1640995200";"01.01.2022 02:00";"874,3";"428,1";"897,6";"458,6"
"1640998800";"01.01.2022 03:00";"860,1";"435,7";"878,5";"471,9"
"1641002400";"01.01.2022 04:00";"842,7";"429,2";"891,1";"472,2"
"1641006000";"01.01.2022 05:00";"844,7";"438,9";"893,7";"479,1"
"1641009600";"01.01.2022 06:00";"852,2";"461,4";"889,2";"491,7"
"1641013200";"01.01.2022 07:00";"868,4";"500,1";"905,2";"514,9"
"1641016800";"01.01.2022 08:00";"874,8";"537,3";"941,7";"554,5"
"1641020400";"01.01.2022 09:00";"882";"539,5";"961,8";"574"
"1641024000";"01.01.2022 10:00";"925,4";"573,3";"990,2";"594"
"1641027600";"01.01.2022 11:00";"978,1";"584,1";"1013,5";"607"
"1641031200";"01.01.2022 12:00";"987,8";"565,2";"1019,9";"625,7"
"1641034800";"01.01.2022 13:00";"991,6";"616,8";"1029,4";"708,1"
"1641038400";"01.01.2022 14:00";"980,2";"633,6";"1029,9";"705,2"
"1641042000";"01.01.2022 15:00";"983,8";"625,5";"1067,2";"706"
"1641045600";"01.01.2022 16:00";"1052";"633,3";"1127,6";"700,1"
"1641049200";"01.01.2022 17:00";"1069,1";"646,9";"1152";"736,6"
"1641052800";"01.01.2022 18:00";"1076,5";"654,7";"1146,8";"727,7"
"1641056400";"01.01.2022 19:00";"1064,3";"630,8";"1122,3";"710"
"1641060000";"01.01.2022 20:00";"1052,8";"614,5";"1099,6";"697,9"
"1641063600";"01.01.2022 21:00";"1030,9";"573,5";"1095,3";"670,9"
"1641067200";"01.01.2022 22:00";"997,3";"520";"1072,8";"642,2"
"1641070800";"01.01.2022 23:00";"967,6";"533,9";"1041,7";"650,3"
"1641074400";"02.01.2022 00:00";"936,6";"492,4";"1018,6";"615"
"1641078000";"02.01.2022 01:00";"917,2";"467";"1016,4";"544,2"
"1641081600";"02.01.2022 02:00";"899,7";"409,8";"986,7";"438"
"1641085200";"02.01.2022 03:00";"891,8";"431,4";"984,7";"447,4"
"1641088800";"02.01.2022 04:00";"883,9";"425,3";"983,3";"455,2"
"1641092400";"02.01.2022 05:00";"878,2";"431,1";"994,7";"463,8"
"1641096000";"02.01.2022 06:00";"900,3";"410";"1010,9";"478,1"
"1641099600";"02.01.2022 07:00";"933,6";"440,2";"1033,2";"494,1"
"1641103200";"02.01.2022 08:00";"983,2";"478,2";"1103,5";"526,6"
"1641106800";"02.01.2022 09:00";"1013,3";"499,9";"1124,9";"541,6"
"1641110400";"02.01.2022 10:00";"1042,3";"512,6";"1209";"577,1"
"1641114000";"02.01.2022 11:00";"1066,5";"549,1";"1206,2";"586,8"
"1641117600";"02.01.2022 12:00";"1070,5";"557,9";"1220";"588,8"
"1641121200";"02.01.2022 13:00";"1066,9";"524,1";"1242";"587,6"
"1641124800";"02.01.2022 14:00";"1076,6";"487";"1212,8";"557,1"
"1641128400";"02.01.2022 15:00";"1099,9";"516,8";"1190,4";"545"
"1641132000";"02.01.2022 16:00";"1158,9";"484,9";"1268,8";"543,1"
"1641135600";"02.01.2022 17:00";"1164,5";"508,4";"1282,1";"581"
