"Local time in Tallinn (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2022 23:00";"5.8";"744.1";"747.2";"-0.7";"93";"Wind blowing from the south-southwest";"3";"";"";"100%.";"Rain shower(s), slight. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"2.9";"6.0";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"200-300";"";"";"35.0";"4.8";"0.1";"3";"";"";"";"";
"31.12.2022 22:00";"5.9";"744.3";"747.3";"-0.5";"93";"Wind blowing from the south-west";"4";"9";"10";"100%.";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"2.9";"5.9";"";"100%.";"200-300";"";"";"35.0";"4.8";"0.2";"3";"";"";"";"";
"31.12.2022 21:00";"5.8";"744.4";"747.4";"-0.3";"93";"Wind blowing from the south-southwest";"4";"8";"";"100%.";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"2.9";"5.8";"";"100%.";"100-200";"";"";"35.0";"4.8";"0.2";"3";"";"";"";"";
"31.12.2022 20:00";"5.7";"744.8";"747.8";"-0.5";"94";"Wind blowing from the south-west";"4";"9";"";"100%.";"State of sky on the whole unchanged. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"2.6";"5.8";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"100-200";"";"";"35.0";"4.8";"0.5";"12";"";"";"";"";
"31.12.2022 19:00";"5.4";"744.8";"747.9";"-0.8";"96";"Wind blowing from the south-west";"4";"8";"";"100%.";"No significant weather observed. ";"Visibility reduced.";"No significant weather observed.";"2.6";"5.5";"";"100%.";"100-200";"";"";"20.0";"4.8";"0.3";"3";"";"";"";"";
"31.12.2022 18:00";"5.2";"744.7";"747.7";"-1.0";"98";"Wind blowing from the south-southwest";"6";"11";"11";"100%.";"Mist. ";"Visibility reduced.";"No significant weather observed.";"2.6";"5.2";"";"100%.";"50-100";"";"";"8.0";"4.9";"0.2";"3";"";"";"";"";
"31.12.2022 17:00";"4.9";"745.3";"748.3";"-0.4";"96";"Wind blowing from the south-southwest";"5";"8";"9";"100%.";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"2.6";"5.2";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"100-200";"";"";"25.0";"4.3";"0.2";"3";"";"";"";"";
"31.12.2022 16:00";"5.0";"745.6";"748.6";"0.0";"95";"Wind blowing from the south-southwest";"4";"";"11";"90  or more, but not 100%";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"2.6";"5.2";"";"90  or more, but not 100%";"100-200";"";"";"35.0";"4.2";"0.1";"3";"";"";"";"";
"31.12.2022 15:00";"4.7";"745.7";"748.8";"0.1";"97";"Wind blowing from the south-southwest";"4";"";"11";"100%.";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"2.6";"4.8";"";"100%.";"50-100";"";"";"24.0";"4.2";"0.1";"3";"";"";"";"";
"31.12.2022 14:00";"4.1";"745.7";"748.7";"-0.2";"97";"Wind blowing from the south-southwest";"5";"";"12";"100%.";"State of sky on the whole unchanged. ";"Shower(s).";"Drizzle.";"2.6";"4.1";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"50-100";"";"";"13.0";"3.7";"0.1";"3";"";"";"";"";
"31.12.2022 13:00";"3.7";"745.6";"748.7";"-0.8";"96";"Wind blowing from the south-southwest";"5";"9";"12";"100%.";"No significant weather observed. ";"Showers or intermittent precipitation.";"Showers or intermittent precipitation.";"2.6";"3.7";"";"100%.";"100-200";"";"";"13.0";"3.1";"0.3";"3";"";"";"";"";
"31.12.2022 12:00";"3.2";"745.6";"748.6";"-1.4";"95";"Wind blowing from the south";"5";"10";"12";"100%.";"Rain shower(s) or intermittent rain, slight. ";"Showers or intermittent precipitation.";"No significant weather observed.";"2.6";"3.5";"";"100%.";"100-200";"";"";"35.0";"2.4";"0.3";"3";"";"";"";"";
"31.12.2022 11:00";"3.1";"745.9";"749.0";"-1.4";"93";"Wind blowing from the south";"6";"10";"12";"90  or more, but not 100%";"Shower(s) of rain. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"2.6";"3.5";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"90  or more, but not 100%";"200-300";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"12.0";"2.0";"0.2";"3";"";"";"";"";
"31.12.2022 10:00";"3.4";"746.4";"749.5";"-2.2";"86";"Wind blowing from the south";"6";"10";"12";"90  or more, but not 100%";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"2.6";"3.6";"";"90  or more, but not 100%";"300-600";"";"";"35.0";"1.2";"No precipitation";"3";"";"";"";"";
"31.12.2022 09:00";"3.0";"747.0";"750.1";"-2.9";"87";"Wind blowing from the south";"5";"10";"12";"100%.";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"2.6";"3.6";"";"";"2500 or more, or no clouds.";"";"";"35.0";"1.1";"No precipitation";"3";"";"";"";"";
"31.12.2022 08:00";"2.6";"747.3";"750.4";"-3.5";"92";"Wind blowing from the south-southeast";"6";"9";"12";"70 – 80%.";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"2.6";"3.7";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"70 – 80%.";"200-300";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"1.4";"Trace of precipitation";"12";"";"";"Compact or wet snow (with or without ice) covering less than one-half of the ground.";"2.0";
